"id","sentiment"
1,3
2,2
3,3
4,3
5,3
6,3
7,4
8,4
9,4
10,3
11,3
12,3
13,3
14,3
15,3
16,3
17,3
18,3
19,5
20,4
21,3
22,4
23,5
24,5
25,5
26,2
27,4
28,5
29,5
30,3
31,3
32,3
33,4
34,4
35,3
36,3
37,4
38,5
39,3
40,3
41,3
42,4
43,5
44,3
45,5
46,4
47,3
48,4
49,4
50,4
51,3
52,4
53,3
54,3
55,3
56,3
57,3
58,3
59,3
60,3
61,4
62,3
63,4
64,3
65,4
66,3
67,4
68,3
69,3
70,3
71,3
72,3
73,3
74,3
75,3
76,3
77,3
78,3
79,3
80,4
81,3
82,4
83,4
84,4
85,3
86,3
87,3
88,3
89,3
90,3
91,3
92,3
93,3
94,3
95,3
96,3
97,3
98,3
99,5
100,3
101,4
102,5
103,5
104,5
105,5
106,3
107,5
108,4
109,4
110,4
111,3
112,3
113,3
114,3
115,3
116,3
117,4
118,4
119,3
120,3
121,3
122,5
123,4
124,3
125,5
126,3
127,5
128,3
129,4
130,4
131,4
132,4
133,5
134,3
135,4
136,4
137,3
138,3
139,4
140,3
141,3
142,3
143,3
144,3
145,3
146,4
147,3
148,4
149,4
150,3
151,4
152,5
153,5
154,4
155,4
156,5
157,5
158,4
159,3
160,4
161,3
162,4
163,4
164,4
165,3
166,3
167,4
168,3
169,3
170,3
171,4
172,4
173,4
174,4
175,3
176,4
177,4
178,3
179,3
180,5
181,4
182,3
183,4
184,4
185,3
186,4
187,3
188,4
189,4
190,3
191,5
192,4
193,4
194,4
195,5
196,4
197,3
198,4
199,4
200,4
201,4
202,4
203,4
204,4
205,3
206,5
207,4
208,4
209,3
210,3
211,5
212,5
213,3
214,4
215,4
216,4
217,4
218,3
219,5
220,4
221,5
222,5
223,3
224,3
225,4
226,3
227,5
228,3
229,3
230,4
231,3
232,3
233,3
234,3
235,3
236,4
237,4
238,4
239,3
240,4
241,3
242,3
243,3
244,3
245,3
246,3
247,3
248,3
249,3
250,3
251,3
252,3
253,3
254,3
255,3
256,3
257,3
258,3
259,3
260,3
261,3
262,3
263,3
264,3
265,3
266,3
267,3
268,3
269,3
270,3
271,3
272,3
273,3
274,3
275,3
276,4
277,4
278,3
279,3
280,4
281,5
282,4
283,4
284,3
285,3
286,3
287,3
288,4
289,3
290,3
291,3
292,3
293,2
294,4
295,3
296,3
297,3
298,3
299,3
300,3
301,3
302,3
303,3
304,3
305,3
306,3
307,4
308,3
309,3
310,4
311,3
312,3
313,4
314,3
315,3
316,3
317,3
318,4
319,3
320,4
321,4
322,3
323,3
324,3
325,4
326,3
327,4
328,3
329,3
330,4
331,3
332,5
333,4
334,3
335,4
336,3
337,4
338,4
339,4
340,3
341,4
342,3
343,3
344,4
345,4
346,3
347,4
348,3
349,3
350,3
351,3
352,4
353,4
354,3
355,4
356,4
357,3
358,3
359,3
360,3
361,3
362,3
363,4
364,3
365,3
366,4
367,3
368,3
369,4
370,5
371,4
372,3
373,4
374,5
375,3
376,3
377,3
378,4
379,3
380,4
381,4
382,3
383,3
384,3
385,3
386,3
387,3
388,3
389,3
390,3
391,3
392,3
393,3
394,3
395,3
396,3
397,3
398,3
399,3
400,3
401,3
402,3
403,3
404,3
405,3
406,4
407,3
408,3
409,3
410,3
411,3
412,3
413,3
