"id","sentiment"
1,4
2,2
3,3
4,4
5,2
6,3
7,4
8,4
9,4
10,4
11,5
12,3
13,3
14,4
15,3
16,3
17,3
18,3
19,2
20,3
21,3
22,3
23,5
24,5
25,5
26,3
27,4
28,5
29,5
30,3
31,3
32,3
33,3
34,4
35,4
36,4
37,2
38,3
39,3
40,1
41,3
42,4
43,5
44,3
45,4
46,3
47,5
48,3
49,3
50,4
51,3
52,4
53,5
54,3
55,3
56,4
57,3
58,4
59,3
60,3
61,3
62,3
63,3
64,4
65,4
66,4
67,4
68,3
69,3
70,3
71,4
72,4
73,4
74,4
75,4
76,3
77,2
78,3
79,2
80,4
81,2
82,4
83,3
84,3
85,2
86,3
87,3
88,3
89,3
90,3
91,4
92,4
93,4
94,4
95,3
96,2
97,3
98,4
99,5
100,3
101,4
102,4
103,4
104,3
105,5
106,2
107,4
108,2
109,3
110,4
111,3
112,3
113,4
114,3
115,3
116,4
117,3
118,4
119,2
120,4
121,3
122,2
123,4
124,2
125,5
126,2
127,5
128,3
129,4
130,4
131,4
132,3
133,3
134,4
135,3
136,4
137,3
138,3
139,3
140,3
141,3
142,5
143,3
144,4
145,3
146,3
147,3
148,4
149,3
150,3
151,3
152,5
153,5
154,4
155,4
156,4
157,3
158,5
159,4
160,4
161,3
162,4
163,4
164,3
165,3
166,3
167,4
168,3
169,3
170,3
171,5
172,3
173,3
174,2
175,3
176,4
177,3
178,3
179,3
180,3
181,4
182,3
183,3
184,3
185,5
186,4
187,3
188,3
189,4
190,3
191,3
192,3
193,3
194,4
195,4
196,3
197,4
198,3
199,3
200,3
201,3
202,3
203,4
204,4
205,3
206,5
207,4
208,4
209,3
210,3
211,4
212,4
213,3
214,3
215,2
216,3
217,4
218,3
219,3
220,4
221,4
222,3
223,3
224,3
225,3
226,4
227,5
228,4
229,3
230,3
231,3
232,3
233,3
234,4
235,3
236,4
237,3
238,3
239,3
240,3
241,3
242,3
243,3
244,4
245,3
246,3
247,3
248,3
249,3
250,3
251,3
252,3
253,3
254,3
255,3
256,3
257,3
258,4
259,3
260,3
261,3
262,3
263,3
264,4
265,3
266,3
267,3
268,3
269,3
270,3
271,3
272,3
273,3
274,3
275,3
276,4
277,3
278,3
279,3
280,4
281,3
282,4
283,4
284,2
285,4
286,2
287,3
288,3
289,4
290,4
291,3
292,4
293,2
294,2
295,4
296,3
297,1
298,3
299,4
300,3
301,4
302,3
303,3
304,3
305,3
306,2
307,3
308,4
309,3
310,4
311,4
312,4
313,2
314,4
315,4
316,4
317,4
318,4
319,3
320,4
321,3
322,2
323,3
324,3
325,3
326,4
327,3
328,3
329,2
330,2
331,1
332,3
333,3
334,4
335,4
336,4
337,2
338,4
339,4
340,4
341,4
342,3
343,3
344,4
345,4
346,3
347,4
348,4
349,3
350,4
351,4
352,2
353,4
354,4
355,3
356,3
357,3
358,3
359,3
360,3
361,3
362,4
363,2
364,4
365,3
366,3
367,4
368,3
369,3
370,4
371,3
372,3
373,4
374,3
375,3
376,4
377,4
378,3
379,3
380,4
381,4
382,3
383,3
384,4
385,3
386,4
387,3
388,4
389,3
390,5
391,3
392,4
393,4
394,3
395,3
396,3
397,3
398,3
399,3
400,3
401,3
402,3
403,3
404,3
405,3
406,2
407,3
408,3
409,3
410,3
411,3
412,3
413,3
414,3
415,3
416,3
417,3
418,3
419,3
420,3
421,4
422,4
423,3
424,3
425,3
426,3
427,3
