"id","sentiment"
1,2
2,2
3,3
4,3
5,4
6,2
7,4
8,4
9,4
10,3
11,3
12,3
13,3
14,5
15,3
16,3
17,3
18,4
19,5
20,5
21,5
22,5
23,5
24,5
25,5
26,3
27,5
28,5
29,5
30,4
31,4
32,5
33,5
34,5
35,4
36,3
37,5
38,5
39,5
40,4
41,3
42,4
43,3
44,4
45,5
46,4
47,4
48,5
49,4
50,5
51,4
52,5
53,5
54,4
55,4
56,4
57,3
58,2
59,3
60,3
61,2
62,3
63,3
64,4
65,3
66,4
67,2
68,4
69,3
70,3
71,3
72,3
73,3
74,4
75,4
76,3
77,3
78,3
79,3
80,4
81,3
82,2
83,3
84,3
85,3
86,3
87,3
88,3
89,3
90,3
91,3
92,3
93,3
94,3
95,3
96,3
97,3
98,3
99,5
100,3
101,5
102,5
103,5
104,5
105,5
106,3
107,5
108,4
109,4
110,5
111,5
112,3
113,5
114,4
115,4
116,4
117,5
118,5
119,4
120,4
121,3
122,3
123,5
124,4
125,5
126,4
127,5
128,3
129,5
130,5
131,5
132,4
133,5
134,3
135,4
136,5
137,3
138,5
139,5
140,4
141,3
142,3
143,4
144,5
145,4
146,5
147,4
148,4
149,4
150,3
151,5
152,5
153,5
154,4
155,5
156,5
157,5
158,4
159,3
160,4
161,4
162,4
163,5
164,3
165,3
166,2
167,4
168,3
169,4
170,4
171,4
172,4
173,4
174,4
175,4
176,5
177,5
178,5
179,4
180,5
181,4
182,5
183,4
184,5
185,3
186,5
187,3
188,3
189,5
190,3
191,5
192,4
193,5
194,4
195,5
196,5
197,4
198,3
199,5
200,5
201,5
202,5
203,5
204,4
205,3
206,5
207,5
208,5
209,3
210,5
211,4
212,5
213,3
214,5
215,4
216,5
217,4
218,5
219,5
220,5
221,5
222,5
223,3
224,4
225,5
226,5
227,5
228,3
229,4
230,5
231,3
232,3
233,3
234,3
235,2
236,4
237,4
238,3
239,3
240,4
241,2
242,3
243,3
244,3
245,3
246,3
247,3
248,3
249,3
250,3
251,3
252,3
253,5
254,3
255,3
256,5
257,3
258,3
259,3
260,3
261,5
262,3
263,3
264,3
265,3
266,3
267,4
