"id","sentiment"
1,2
2,2
3,2
4,3
5,3
6,3
7,3
8,3
9,3
10,3
11,3
12,3
13,3
14,3
15,3
16,3
17,3
18,4
19,5
20,4
21,3
22,4
23,5
24,5
25,5
26,3
27,4
28,5
29,5
30,3
31,4
32,3
33,4
34,5
35,4
36,3
37,5
38,5
39,3
40,4
41,3
42,4
43,3
44,3
45,5
46,4
47,4
48,4
49,4
50,4
51,3
52,4
53,5
54,2
55,3
56,3
57,3
58,4
59,3
60,4
61,2
62,3
63,3
64,3
65,3
66,4
67,3
68,4
69,2
70,3
71,3
72,3
73,3
74,3
75,4
76,3
77,3
78,3
79,3
80,4
81,3
82,3
83,3
84,3
85,3
86,3
87,3
88,3
89,3
90,3
91,3
92,3
93,3
94,3
95,3
96,4
97,3
98,2
99,5
100,3
101,4
102,5
103,5
104,5
105,5
106,3
107,5
108,4
109,4
110,4
111,3
112,3
113,3
114,3
115,4
116,3
117,4
118,4
119,3
120,3
121,3
122,3
123,4
124,3
125,5
126,4
127,5
128,3
129,5
130,4
131,4
132,3
133,5
134,3
135,4
136,4
137,3
138,3
139,4
140,3
141,3
142,3
143,3
144,3
145,3
146,4
147,3
148,4
149,4
150,3
151,4
152,5
153,5
154,4
155,4
156,5
157,5
158,4
159,3
160,4
161,4
162,4
163,4
164,4
165,3
166,3
167,4
168,3
169,4
170,4
171,3
172,4
173,4
174,4
175,4
176,5
177,5
178,4
179,3
180,5
181,4
182,4
183,3
184,4
185,3
186,4
187,3
188,3
189,4
190,3
191,5
192,4
193,4
194,4
195,5
196,4
197,4
198,4
199,4
200,5
201,4
202,4
203,4
204,4
205,3
206,5
207,4
208,4
209,3
210,3
211,1
212,5
213,3
214,4
215,4
216,4
217,4
218,4
219,5
220,4
221,5
222,5
223,3
224,4
225,5
226,3
227,5
228,3
229,3
230,4
231,3
232,3
233,3
234,3
235,2
236,4
237,4
238,3
239,3
240,4
241,2
242,3
243,3
244,3
245,5
246,2
247,3
248,3
249,3
250,3
251,2
252,3
253,3
254,3
255,3
256,3
257,3
258,3
259,3
260,2
261,3
262,3
263,3
264,3
265,3
266,3
267,3
